Employee Number,Attrition,Age,Gender,Marital Status,Department,Job Role,BusinessTravel,Daily Rate,Standard Hours,Hourly Rate,Distance From Home,Education,Education Field,Employee Count,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Number Companies Worked,Over 18,Over Time,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Experience,Training Times Last Year,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Current Manager
727,No,39,Male,Single,Sales,Sales Executive,Travel_Rarely,903,80,41,2,5,Life Sciences,1,1,4,3,3,7880,2560,0,Y,No,18,3,4,0,9,3,3,8,7,0,7
728,Yes,40,Female,Single,Sales,Sales Executive,Non-Travel,1479,80,100,24,3,Life Sciences,1,2,4,4,2,13194,17071,4,Y,Yes,16,3,4,0,22,2,2,1,0,0,0
729,No,47,Male,Divorced,Research & Development,Manufacturing Director,Travel_Frequently,1379,80,64,16,4,Medical,1,3,4,2,3,5067,6759,1,Y,Yes,19,3,3,0,20,3,4,19,10,2,7
730,No,36,Male,Divorced,Sales,Sales Executive,Non-Travel,1229,80,84,8,4,Technical Degree,1,1,3,2,4,5079,25952,4,Y,No,13,3,4,2,12,3,3,7,7,0,7
731,Yes,31,Male,Single,Research & Development,Research Scientist,Non-Travel,335,80,46,9,2,Medical,1,3,2,1,1,2321,10322,0,Y,Yes,22,4,1,0,4,0,3,3,2,1,2
732,No,33,Male,Single,Sales,Manager,Non-Travel,722,80,38,17,3,Life Sciences,1,4,3,4,3,17444,20489,1,Y,No,11,3,4,0,10,2,3,10,8,6,0
733,Yes,29,Female,Single,Research & Development,Research Scientist,Travel_Rarely,906,80,92,10,3,Life Sciences,1,4,2,1,1,2404,11479,6,Y,Yes,20,4,3,0,3,5,3,0,0,0,0
734,No,33,Female,Single,Research & Development,Research Scientist,Travel_Rarely,461,80,53,13,1,Life Sciences,1,2,3,1,4,3452,17241,3,Y,No,18,3,1,0,5,4,3,3,2,0,2
735,No,45,Female,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,974,80,91,1,4,Medical,1,4,3,1,4,2270,11005,3,Y,No,14,3,4,2,8,2,3,5,3,0,2
736,No,50,Male,Divorced,Research & Development,Research Director,Travel_Rarely,1126,80,66,1,2,Medical,1,4,3,4,4,17399,6615,9,Y,No,22,4,3,1,32,1,2,5,4,1,3
737,No,33,Female,Married,Research & Development,Healthcare Representative,Travel_Frequently,827,80,84,1,4,Other,1,3,4,2,2,5488,20161,1,Y,Yes,13,3,1,1,6,2,3,6,5,1,2
738,No,41,Male,Divorced,Research & Development,Research Director,Travel_Frequently,840,80,64,9,3,Medical,1,1,3,5,3,19419,3735,2,Y,No,17,3,2,1,21,2,4,18,16,0,11
739,No,27,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,1134,80,37,16,4,Technical Degree,1,3,3,1,2,2811,12086,9,Y,No,14,3,2,1,4,2,3,2,2,2,2
740,No,45,Male,Married,Research & Development,Laboratory Technician,Non-Travel,248,80,42,23,2,Life Sciences,1,4,3,2,1,3633,14039,1,Y,Yes,15,3,3,1,9,2,3,9,8,0,8
741,No,47,Female,Single,Sales,Sales Executive,Travel_Rarely,955,80,83,4,2,Life Sciences,1,4,3,2,4,4163,8571,1,Y,Yes,17,3,3,0,9,0,3,9,0,0,7
742,Yes,30,Female,Married,Research & Development,Research Scientist,Travel_Rarely,138,80,48,22,3,Life Sciences,1,1,3,1,3,2132,11539,4,Y,Yes,11,3,2,0,7,2,3,5,2,0,1
743,No,50,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,939,80,95,24,3,Life Sciences,1,4,3,4,3,13973,4161,3,Y,Yes,18,3,4,1,22,2,3,12,11,1,5
744,No,38,Male,Married,Research & Development,Research Scientist,Travel_Frequently,1391,80,66,10,1,Medical,1,3,3,1,3,2684,12127,0,Y,No,17,3,2,1,3,0,2,2,1,0,2
745,No,46,Male,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,566,80,75,7,2,Medical,1,4,3,3,3,10845,24208,6,Y,No,13,3,2,1,13,3,3,8,7,0,7
746,No,24,Female,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1206,80,41,17,1,Medical,1,4,2,2,3,4377,24117,1,Y,No,15,3,2,2,5,6,3,4,2,3,2
747,Yes,35,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,622,80,39,14,4,Other,1,3,2,1,2,3743,10074,1,Y,Yes,24,4,4,1,5,2,1,4,2,0,2
748,No,31,Female,Married,Research & Development,Manufacturing Director,Travel_Frequently,853,80,96,1,1,Life Sciences,1,3,3,2,1,4148,11275,1,Y,No,12,3,3,1,4,1,3,4,3,0,3
749,No,18,Male,Single,Research & Development,Research Scientist,Non-Travel,287,80,73,5,2,Life Sciences,1,2,3,1,4,1051,13493,1,Y,No,15,3,4,0,0,2,3,0,0,0,0
750,No,54,Female,Married,Research & Development,Manufacturing Director,Travel_Rarely,1441,80,56,17,3,Technical Degree,1,3,3,3,3,10739,13943,8,Y,No,11,3,3,1,22,2,3,10,7,0,8
751,No,35,Female,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,583,80,57,25,4,Medical,1,3,3,3,3,10388,6975,1,Y,Yes,11,3,3,1,16,3,2,16,10,10,1
752,No,30,Female,Married,Research & Development,Research Director,Travel_Rarely,153,80,73,8,2,Life Sciences,1,2,4,3,1,11416,17802,0,Y,Yes,12,3,3,3,9,4,2,8,7,1,7
753,Yes,20,Female,Single,Research & Development,Research Scientist,Travel_Rarely,1097,80,98,11,3,Medical,1,4,2,1,1,2600,18275,1,Y,Yes,15,3,1,0,1,2,3,1,0,0,0
754,Yes,30,Female,Single,Research & Development,Laboratory Technician,Travel_Frequently,109,80,60,5,3,Medical,1,2,3,1,2,2422,25725,0,Y,No,17,3,1,0,4,3,3,3,2,1,2
755,No,26,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,1066,80,32,2,2,Medical,1,4,4,2,4,5472,3334,1,Y,No,12,3,2,0,8,2,3,8,7,1,3
756,No,22,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,217,80,94,8,1,Life Sciences,1,2,1,1,1,2451,6881,1,Y,No,15,3,1,1,4,3,2,4,3,1,1
757,No,48,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,277,80,97,6,3,Life Sciences,1,1,2,2,3,4240,13119,2,Y,No,13,3,4,0,19,0,3,2,2,2,2
758,No,48,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,1355,80,78,4,4,Life Sciences,1,3,2,3,3,10999,22245,7,Y,No,14,3,2,0,27,3,3,15,11,4,8
759,No,41,Female,Single,Research & Development,Manufacturing Director,Travel_Rarely,549,80,42,7,2,Medical,1,4,3,2,3,5003,23371,6,Y,No,14,3,2,0,8,6,3,2,2,2,1
760,No,39,Female,Married,Research & Development,Manufacturing Director,Travel_Rarely,466,80,65,1,1,Life Sciences,1,4,2,4,4,12742,7060,1,Y,No,16,3,3,1,21,3,3,21,6,11,8
761,No,27,Female,Married,Research & Development,Manufacturing Director,Travel_Rarely,1055,80,47,2,4,Life Sciences,1,1,3,2,4,4227,4658,0,Y,No,18,3,2,1,4,2,3,3,2,2,2
762,No,35,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,802,80,45,10,3,Other,1,2,3,1,4,3917,9541,1,Y,No,20,4,1,1,3,4,2,3,2,1,2
763,No,42,Male,Married,Sales,Manager,Travel_Rarely,265,80,90,5,2,Marketing,1,4,3,5,3,18303,7770,6,Y,No,13,3,2,0,21,3,4,1,0,0,0
764,No,50,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,804,80,64,9,3,Life Sciences,1,1,3,1,4,2380,20165,4,Y,No,18,3,2,0,8,5,3,1,0,0,0
765,No,59,Female,Single,Research & Development,Manufacturing Director,Travel_Rarely,715,80,69,2,3,Life Sciences,1,3,2,4,4,13726,21829,3,Y,Yes,13,3,1,0,30,4,3,5,3,4,3
766,Yes,37,Female,Married,Research & Development,Healthcare Representative,Travel_Rarely,1141,80,61,11,2,Medical,1,1,1,2,2,4777,14382,5,Y,No,15,3,1,0,15,2,1,1,0,0,0
767,No,55,Male,Married,Research & Development,Healthcare Representative,Travel_Frequently,135,80,62,18,4,Medical,1,3,3,2,2,6385,12992,3,Y,Yes,14,3,4,2,17,3,3,8,7,6,7
768,No,41,Female,Divorced,Research & Development,Research Director,Non-Travel,247,80,55,7,1,Life Sciences,1,2,1,5,3,19973,20284,1,Y,No,22,4,2,2,21,3,3,21,16,5,10
769,No,38,Male,Single,Sales,Sales Executive,Travel_Rarely,1035,80,42,3,4,Life Sciences,1,2,3,2,4,6861,4981,8,Y,Yes,12,3,3,0,19,1,3,1,0,0,0
770,Yes,26,Male,Single,Sales,Sales Executive,Non-Travel,265,80,79,29,2,Medical,1,2,1,2,1,4969,21813,8,Y,No,18,3,4,0,7,6,3,2,2,2,2
771,Yes,52,Female,Married,Sales,Manager,Travel_Rarely,266,80,57,2,1,Marketing,1,1,1,5,4,19845,25846,1,Y,No,15,3,4,1,33,3,3,32,14,6,9
772,No,44,Female,Married,Sales,Sales Executive,Travel_Rarely,1448,80,53,28,3,Medical,1,4,4,4,4,13320,11737,3,Y,Yes,18,3,3,1,23,2,3,12,11,11,11
773,No,50,Female,Married,Sales,Sales Executive,Non-Travel,145,80,95,1,3,Life Sciences,1,4,3,2,3,6347,24920,0,Y,No,12,3,1,1,19,3,3,18,7,0,13
774,Yes,36,Female,Single,Research & Development,Laboratory Technician,Travel_Rarely,885,80,43,16,4,Life Sciences,1,3,4,1,1,2743,8269,1,Y,No,16,3,3,0,18,1,3,17,13,15,14
775,No,39,Female,Single,Research & Development,Manufacturing Director,Travel_Frequently,945,80,82,22,3,Medical,1,4,3,3,1,10880,5083,1,Y,Yes,13,3,3,0,21,2,3,21,6,2,8
776,No,33,Female,Single,Sales,Sales Representative,Non-Travel,1038,80,88,8,1,Life Sciences,1,2,2,1,4,2342,21437,0,Y,No,19,3,4,0,3,2,2,2,2,2,2
777,No,45,Female,Married,Sales,Manager,Travel_Rarely,1234,80,90,11,2,Life Sciences,1,4,3,4,4,17650,5404,3,Y,No,13,3,2,1,26,4,4,9,3,1,1
778,No,32,Female,Single,Research & Development,Laboratory Technician,Non-Travel,1109,80,69,29,4,Medical,1,4,3,1,3,4025,11135,9,Y,No,12,3,2,0,10,2,3,8,7,7,7
779,No,34,Male,Divorced,Sales,Sales Executive,Travel_Rarely,216,80,75,1,4,Marketing,1,2,4,2,4,9725,12278,0,Y,No,11,3,4,1,16,2,2,15,1,0,9
780,No,59,Male,Married,Sales,Manager,Travel_Rarely,1089,80,66,1,2,Technical Degree,1,2,3,3,4,11904,11038,3,Y,Yes,14,3,3,1,14,1,1,6,4,0,4
781,No,45,Male,Single,Human Resources,Human Resources,Travel_Rarely,788,80,36,24,4,Medical,1,2,3,1,2,2177,8318,1,Y,No,16,3,1,0,6,3,3,6,3,0,4
782,No,53,Female,Married,Sales,Sales Executive,Travel_Frequently,124,80,38,2,3,Marketing,1,3,2,3,2,7525,23537,2,Y,No,12,3,1,1,30,2,3,15,7,6,12
783,Yes,36,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,660,80,81,15,3,Other,1,1,3,2,3,4834,7858,7,Y,No,14,3,2,1,9,3,2,1,0,0,0
784,Yes,26,Male,Married,Research & Development,Research Scientist,Travel_Frequently,342,80,57,2,3,Life Sciences,1,1,3,1,1,2042,15346,6,Y,Yes,14,3,2,1,6,2,3,3,2,1,2
785,No,34,Female,Married,Sales,Sales Representative,Travel_Rarely,1333,80,87,10,4,Life Sciences,1,3,3,1,3,2220,18410,1,Y,Yes,19,3,4,1,1,2,3,1,1,0,0
786,No,28,Male,Married,Sales,Sales Representative,Travel_Rarely,1144,80,74,10,1,Medical,1,4,3,1,2,1052,23384,1,Y,No,22,4,2,0,1,5,3,1,0,0,0
787,No,38,Male,Married,Research & Development,Research Scientist,Travel_Frequently,1186,80,44,3,4,Other,1,3,3,1,3,2821,2997,3,Y,No,16,3,1,1,8,2,3,2,2,2,2
788,No,50,Male,Married,Research & Development,Research Director,Travel_Rarely,1464,80,62,2,4,Medical,1,2,3,5,3,19237,12853,2,Y,Yes,11,3,4,1,29,2,2,8,1,7,7
789,No,37,Female,Single,Research & Development,Healthcare Representative,Travel_Rarely,124,80,35,3,3,Other,1,4,3,2,2,4107,13848,3,Y,No,15,3,1,0,8,3,2,4,3,0,1
790,No,40,Male,Married,Sales,Sales Executive,Travel_Rarely,300,80,74,26,3,Marketing,1,3,3,2,1,8396,22217,1,Y,No,14,3,2,1,8,3,2,7,7,7,5
791,No,26,Female,Divorced,Research & Development,Research Scientist,Travel_Frequently,921,80,66,1,1,Medical,1,1,2,1,3,2007,25265,1,Y,No,13,3,3,2,5,5,3,5,3,1,3
792,No,46,Male,Divorced,Research & Development,Research Director,Travel_Rarely,430,80,40,1,4,Medical,1,4,3,5,4,19627,21445,9,Y,No,17,3,4,2,23,0,3,2,2,2,2
793,No,54,Female,Married,Sales,Sales Executive,Travel_Rarely,1082,80,41,2,4,Life Sciences,1,3,2,3,3,10686,8392,6,Y,No,11,3,2,1,13,4,3,9,4,7,0
794,No,56,Female,Married,Research & Development,Research Scientist,Travel_Frequently,1240,80,63,9,3,Medical,1,1,3,1,3,2942,12154,2,Y,No,19,3,2,1,18,4,3,5,4,0,3
795,No,36,Female,Single,Research & Development,Manufacturing Director,Travel_Rarely,796,80,51,12,5,Medical,1,4,2,3,4,8858,15669,0,Y,No,11,3,2,0,15,2,2,14,8,7,8
796,No,55,Male,Single,Research & Development,Manager,Non-Travel,444,80,40,2,1,Medical,1,3,2,4,1,16756,17323,7,Y,No,15,3,2,0,31,3,4,9,7,6,2
797,No,43,Male,Divorced,Sales,Sales Executive,Travel_Rarely,415,80,79,25,3,Medical,1,3,2,3,4,10798,5268,5,Y,No,13,3,3,1,18,5,3,1,0,0,0
798,Yes,20,Female,Single,Sales,Sales Representative,Travel_Frequently,769,80,54,9,3,Marketing,1,4,3,1,4,2323,17205,1,Y,Yes,14,3,2,0,2,3,3,2,2,0,2
799,Yes,21,Female,Single,Research & Development,Laboratory Technician,Travel_Rarely,1334,80,36,10,3,Life Sciences,1,3,2,1,1,1416,17258,1,Y,No,13,3,1,0,1,6,2,1,0,1,0
800,No,46,Female,Divorced,Research & Development,Research Scientist,Travel_Rarely,1003,80,74,8,4,Life Sciences,1,4,2,2,1,4615,21029,8,Y,Yes,23,4,1,3,19,2,3,16,13,1,7
801,Yes,51,Male,Married,Research & Development,Research Scientist,Travel_Rarely,1323,80,34,4,4,Life Sciences,1,1,3,1,3,2461,10332,9,Y,Yes,12,3,3,3,18,2,4,10,0,2,7
802,Yes,28,Male,Single,Research & Development,Healthcare Representative,Non-Travel,1366,80,72,24,2,Technical Degree,1,2,2,3,1,8722,12355,1,Y,No,12,3,1,0,10,2,2,10,7,1,9
803,No,26,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,192,80,59,1,2,Medical,1,1,2,1,1,3955,11141,1,Y,No,16,3,1,2,6,2,3,5,3,1,3
804,No,30,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,1176,80,85,20,3,Other,1,3,3,2,1,9957,9096,0,Y,No,15,3,3,1,7,1,2,6,2,0,2
805,No,41,Female,Married,Research & Development,Research Scientist,Travel_Rarely,509,80,43,7,2,Technical Degree,1,2,4,1,3,3376,18863,1,Y,No,13,3,3,0,10,3,3,10,6,0,8
806,No,38,Female,Married,Research & Development,Healthcare Representative,Travel_Rarely,330,80,65,17,1,Life Sciences,1,3,2,3,3,8823,24608,0,Y,No,18,3,1,1,20,4,2,19,9,1,9
807,No,40,Male,Married,Research & Development,Healthcare Representative,Travel_Rarely,1492,80,61,20,4,Technical Degree,1,1,3,3,4,10322,26542,4,Y,No,20,4,4,1,14,6,3,11,10,11,1
808,No,27,Male,Married,Research & Development,Laboratory Technician,Non-Travel,1277,80,87,8,5,Life Sciences,1,1,1,1,3,4621,5869,1,Y,No,19,3,4,3,3,4,3,3,2,1,2
809,No,55,Male,Married,Research & Development,Manufacturing Director,Travel_Frequently,1091,80,65,2,1,Life Sciences,1,4,3,3,2,10976,15813,3,Y,No,18,3,2,1,23,4,3,3,2,1,2
810,No,28,Female,Single,Research & Development,Research Scientist,Travel_Rarely,857,80,59,10,3,Other,1,3,3,2,3,3660,7909,3,Y,No,13,3,4,0,10,4,4,8,7,1,7
811,Yes,44,Male,Married,Human Resources,Human Resources,Travel_Rarely,1376,80,91,1,2,Medical,1,2,2,3,1,10482,2326,9,Y,No,14,3,4,1,24,1,3,20,6,3,6
812,No,33,Male,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,654,80,34,5,3,Life Sciences,1,4,2,3,4,7119,21214,4,Y,No,15,3,3,1,9,2,3,3,2,1,2
813,Yes,35,Male,Single,Sales,Sales Executive,Travel_Rarely,1204,80,86,4,3,Technical Degree,1,4,3,3,1,9582,10333,0,Y,Yes,22,4,1,0,9,2,3,8,7,4,7
814,Yes,33,Female,Single,Research & Development,Research Scientist,Travel_Frequently,827,80,54,29,4,Medical,1,1,2,2,3,4508,3129,1,Y,No,22,4,2,0,14,4,3,13,7,3,8
815,No,28,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,895,80,50,15,2,Life Sciences,1,1,3,1,3,2207,22482,1,Y,No,16,3,4,1,4,5,2,4,2,2,2
816,No,34,Male,Single,Research & Development,Healthcare Representative,Travel_Frequently,618,80,45,3,1,Life Sciences,1,1,3,2,4,7756,22266,0,Y,No,17,3,3,0,7,1,2,6,2,0,4
817,No,37,Female,Divorced,Sales,Sales Executive,Travel_Rarely,309,80,88,10,4,Life Sciences,1,4,2,2,4,6694,24223,2,Y,Yes,14,3,3,3,8,5,3,1,0,0,0
818,Yes,25,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,1219,80,32,4,1,Technical Degree,1,4,3,1,4,3691,4605,1,Y,Yes,15,3,2,1,7,3,4,7,7,5,6
819,Yes,26,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1330,80,37,21,3,Medical,1,1,3,1,3,2377,19373,1,Y,No,20,4,3,1,1,0,2,1,1,0,0
820,Yes,33,Male,Single,Research & Development,Research Scientist,Travel_Rarely,1017,80,55,25,3,Medical,1,1,2,1,2,2313,2993,4,Y,Yes,20,4,2,0,5,0,3,2,2,2,2
821,No,42,Male,Married,Research & Development,Manager,Travel_Rarely,469,80,35,2,2,Medical,1,4,3,4,1,17665,14399,0,Y,No,17,3,4,1,23,3,3,22,6,13,7
822,Yes,28,Male,Divorced,Research & Development,Laboratory Technician,Travel_Frequently,1009,80,45,1,3,Medical,1,1,2,1,2,2596,7160,1,Y,No,15,3,1,2,1,2,3,1,0,0,0
823,Yes,50,Male,Single,Sales,Sales Executive,Travel_Frequently,959,80,81,1,4,Other,1,4,3,2,3,4728,17251,3,Y,Yes,14,3,4,0,5,4,3,0,0,0,0
824,No,33,Female,Married,Sales,Sales Executive,Travel_Frequently,970,80,30,7,3,Life Sciences,1,4,3,2,2,4302,13401,0,Y,No,17,3,3,1,4,3,3,3,2,0,2
825,No,34,Male,Married,Research & Development,Research Scientist,Non-Travel,697,80,40,3,4,Life Sciences,1,3,2,1,4,2979,22478,3,Y,No,17,3,4,3,6,2,3,0,0,0,0
826,No,48,Male,Single,Research & Development,Manager,Non-Travel,1262,80,35,1,4,Medical,1,1,4,4,4,16885,16154,2,Y,No,22,4,3,0,27,3,2,5,4,2,1
827,No,45,Female,Married,Sales,Sales Executive,Non-Travel,1050,80,65,9,4,Life Sciences,1,2,2,2,3,5593,17970,1,Y,No,13,3,4,1,15,2,3,15,10,4,12
828,No,52,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,994,80,87,7,4,Life Sciences,1,2,3,3,2,10445,15322,7,Y,No,19,3,4,0,18,4,3,8,6,4,0
829,No,38,Male,Divorced,Sales,Sales Executive,Travel_Rarely,770,80,73,10,4,Marketing,1,3,2,3,3,8740,5569,0,Y,Yes,14,3,2,2,9,2,3,8,7,2,7
830,No,29,Female,Divorced,Research & Development,Research Scientist,Travel_Rarely,1107,80,93,28,4,Life Sciences,1,3,3,1,4,2514,26968,4,Y,No,22,4,1,1,11,1,3,7,5,1,7
831,No,28,Female,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,950,80,93,3,3,Medical,1,4,3,3,2,7655,8039,0,Y,No,17,3,2,3,10,3,2,9,7,1,7
832,No,46,Male,Married,Sales,Manager,Travel_Rarely,406,80,52,3,1,Marketing,1,1,3,4,3,17465,15596,3,Y,No,12,3,4,1,23,3,3,12,9,4,9
833,No,38,Male,Single,Sales,Sales Executive,Travel_Rarely,130,80,32,2,2,Marketing,1,4,3,3,2,7351,20619,7,Y,No,16,3,3,0,10,2,3,1,0,0,0
834,No,43,Female,Married,Research & Development,Manufacturing Director,Travel_Frequently,1082,80,83,27,3,Life Sciences,1,3,3,3,1,10820,11535,8,Y,No,11,3,3,1,18,1,3,8,7,0,1
835,Yes,39,Male,Divorced,Research & Development,Healthcare Representative,Travel_Frequently,203,80,84,2,3,Life Sciences,1,1,3,4,4,12169,13547,7,Y,No,11,3,4,3,21,4,3,18,7,11,5
836,No,40,Male,Single,Research & Development,Research Director,Travel_Rarely,1308,80,44,14,3,Medical,1,3,2,5,3,19626,17544,1,Y,No,14,3,1,0,21,2,4,20,7,4,9
837,No,21,Female,Single,Research & Development,Research Scientist,Travel_Rarely,984,80,70,1,1,Technical Degree,1,4,2,1,2,2070,25326,1,Y,Yes,11,3,3,0,2,6,4,2,2,2,2
838,No,39,Male,Single,Research & Development,Laboratory Technician,Non-Travel,439,80,70,9,3,Life Sciences,1,3,3,2,2,6782,8770,9,Y,No,15,3,3,0,9,2,2,5,4,0,3
839,No,36,Male,Single,Research & Development,Manufacturing Director,Non-Travel,217,80,78,18,4,Life Sciences,1,1,3,2,4,7779,23238,2,Y,No,20,4,1,0,18,0,3,11,9,0,9
840,No,31,Male,Married,Sales,Sales Representative,Travel_Frequently,793,80,67,20,3,Life Sciences,1,3,4,1,4,2791,21981,0,Y,No,12,3,1,1,3,4,3,2,2,2,2
841,No,28,Male,Married,Research & Development,Research Scientist,Travel_Rarely,1451,80,67,2,1,Life Sciences,1,1,2,1,2,3201,19911,0,Y,No,17,3,1,0,6,2,1,5,3,0,4
842,No,35,Male,Divorced,Sales,Sales Executive,Travel_Frequently,1182,80,54,11,2,Marketing,1,4,3,2,4,4968,18500,1,Y,No,11,3,4,1,5,3,3,5,2,0,2
843,No,49,Male,Married,Sales,Sales Executive,Travel_Rarely,174,80,56,8,4,Technical Degree,1,4,2,4,2,13120,11879,6,Y,No,17,3,2,1,22,3,3,9,8,2,3
844,No,34,Male,Single,Research & Development,Manufacturing Director,Travel_Frequently,1003,80,95,2,2,Life Sciences,1,4,3,2,3,4033,15834,2,Y,No,11,3,4,0,5,3,2,3,2,0,2
845,No,29,Female,Divorced,Research & Development,Research Scientist,Travel_Frequently,490,80,61,10,3,Life Sciences,1,4,3,1,2,3291,17940,0,Y,No,14,3,4,2,8,2,2,7,5,1,1
846,No,42,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,188,80,56,29,3,Medical,1,2,1,2,4,4272,9558,4,Y,No,19,3,1,0,16,3,3,1,0,0,0
847,No,29,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,718,80,79,8,1,Medical,1,2,2,2,4,5056,17689,1,Y,Yes,15,3,3,1,10,2,2,10,7,1,2
848,No,38,Male,Married,Human Resources,Human Resources,Travel_Rarely,433,80,37,1,3,Human Resources,1,3,4,1,3,2844,6004,1,Y,No,13,3,4,1,7,2,4,7,6,5,0
849,No,28,Male,Divorced,Research & Development,Research Scientist,Travel_Frequently,773,80,39,6,3,Life Sciences,1,3,2,1,3,2703,22088,1,Y,Yes,14,3,4,1,3,2,3,3,1,0,2
850,Yes,18,Male,Single,Research & Development,Laboratory Technician,Non-Travel,247,80,80,8,1,Medical,1,3,3,1,3,1904,13556,1,Y,No,12,3,4,0,0,0,3,0,0,0,0
851,Yes,33,Female,Single,Sales,Sales Executive,Travel_Rarely,603,80,77,9,4,Marketing,1,1,3,2,1,8224,18385,0,Y,Yes,17,3,1,0,6,3,3,5,2,0,3
852,No,41,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,167,80,46,12,4,Life Sciences,1,2,3,1,4,4766,9051,3,Y,Yes,11,3,1,1,6,4,3,1,0,0,0
853,Yes,31,Male,Married,Research & Development,Laboratory Technician,Travel_Frequently,874,80,72,15,3,Medical,1,3,3,1,3,2610,6233,1,Y,No,12,3,3,1,2,5,2,2,2,2,2
854,No,37,Female,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,367,80,52,25,2,Medical,1,3,2,2,4,5731,17171,7,Y,No,13,3,3,2,9,2,3,6,2,1,3
855,No,27,Male,Married,Research & Development,Research Scientist,Travel_Rarely,199,80,55,6,3,Life Sciences,1,4,2,1,3,2539,7950,1,Y,No,13,3,3,1,4,0,3,4,2,2,2
856,No,34,Female,Married,Sales,Sales Executive,Travel_Rarely,1400,80,70,9,1,Life Sciences,1,2,3,2,3,5714,5829,1,Y,No,20,4,1,0,6,3,2,6,5,1,3
857,No,35,Male,Single,Human Resources,Human Resources,Travel_Rarely,528,80,100,8,4,Technical Degree,1,3,3,1,3,4323,7108,1,Y,No,17,3,2,0,6,2,1,5,4,1,4
858,Yes,29,Female,Married,Sales,Sales Executive,Travel_Rarely,408,80,45,23,1,Life Sciences,1,4,2,3,1,7336,11162,1,Y,No,13,3,1,1,11,3,1,11,8,3,10
859,No,40,Female,Single,Research & Development,Research Director,Travel_Frequently,593,80,88,9,4,Medical,1,2,3,3,3,13499,13782,9,Y,No,17,3,3,0,20,3,2,18,7,2,13
860,Yes,42,Male,Single,Sales,Sales Executive,Travel_Frequently,481,80,44,12,3,Life Sciences,1,3,3,4,1,13758,2447,0,Y,Yes,12,3,2,0,22,2,2,21,9,13,14
861,No,42,Male,Single,Sales,Sales Executive,Travel_Rarely,647,80,45,4,4,Marketing,1,2,3,2,1,5155,2253,7,Y,No,13,3,4,0,9,3,4,6,4,1,5
862,No,35,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,982,80,58,1,4,Medical,1,4,2,1,3,2258,16340,6,Y,No,12,3,2,1,10,2,3,8,0,1,7
863,No,24,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,477,80,49,24,3,Medical,1,4,3,1,2,3597,6409,8,Y,No,22,4,4,0,6,2,3,4,3,1,2
864,Yes,28,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,1485,80,79,12,1,Life Sciences,1,3,3,1,4,2515,22955,1,Y,Yes,11,3,4,0,1,4,2,1,1,0,0
865,No,26,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,1384,80,82,3,4,Medical,1,1,4,1,4,4420,13421,1,Y,No,22,4,2,1,8,2,3,8,7,0,7
866,No,30,Male,Married,Sales,Sales Executive,Travel_Rarely,852,80,72,10,3,Marketing,1,3,2,2,3,6578,2706,1,Y,No,18,3,1,1,10,3,3,10,3,1,4
867,No,40,Female,Married,Research & Development,Research Scientist,Travel_Frequently,902,80,92,26,2,Medical,1,3,2,2,4,4422,21203,3,Y,Yes,13,3,4,1,16,3,1,1,1,0,0
868,No,35,Male,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,819,80,44,2,3,Life Sciences,1,3,2,3,2,10274,19588,2,Y,No,18,3,2,1,15,2,4,7,7,6,4
869,No,34,Male,Single,Research & Development,Healthcare Representative,Travel_Frequently,669,80,97,1,3,Medical,1,4,2,2,1,5343,25755,0,Y,No,20,4,3,0,14,3,3,13,9,4,9
